iter	Passed	Remaining
0	4	2358
1	8	2112
2	11	1979
3	15	1892
4	18	1850
5	21	1807
6	25	1800
7	29	1790
8	32	1786
9	36	1773
10	39	1763
11	43	1763
12	46	1757
13	50	1750
14	53	1738
15	57	1731
16	60	1722
17	64	1736
18	68	1734
19	72	1731
20	75	1724
21	79	1719
22	82	1710
23	86	1710
24	89	1704
25	93	1700
26	97	1700
27	100	1699
28	104	1695
29	108	1692
30	111	1687
31	114	1681
32	118	1680
33	122	1675
34	125	1670
35	129	1667
36	132	1661
37	136	1655
38	139	1651
39	143	1647
40	147	1646
41	150	1643
42	154	1640
43	157	1634
44	161	1630
45	164	1626
46	168	1621
47	171	1616
48	175	1613
49	179	1611
50	182	1608
51	186	1604
52	189	1601
53	193	1596
54	196	1592
55	200	1587
56	203	1583
57	207	1580
58	210	1575
59	214	1570
60	217	1566
61	221	1563
62	224	1559
63	228	1554
64	231	1550
65	235	1545
66	238	1541
67	241	1536
68	245	1533
69	249	1530
70	252	1526
71	255	1520
72	258	1514
73	262	1508
74	265	1503
75	268	1498
76	271	1493
77	275	1489
78	278	1485
79	282	1481
80	285	1478
81	289	1474
82	292	1470
83	296	1466
84	299	1463
85	303	1459
86	306	1456
87	310	1452
88	313	1449
89	317	1445
90	321	1443
91	324	1440
92	328	1437
93	331	1432
94	335	1428
95	338	1425
96	342	1422
97	345	1418
98	349	1414
99	352	1409
100	355	1405
101	359	1403
102	363	1399
103	366	1396
104	370	1392
105	373	1387
106	376	1384
107	380	1380
108	383	1376
109	387	1374
110	391	1372
111	395	1368
112	398	1364
113	401	1360
114	405	1356
115	408	1353
116	412	1349
117	415	1345
118	418	1341
119	422	1339
120	426	1335
121	430	1332
122	433	1329
123	437	1327
124	441	1323
125	444	1320
126	448	1317
127	452	1316
128	456	1313
129	460	1310
130	463	1306
131	467	1304
132	471	1300
133	475	1297
134	478	1294
135	482	1291
136	486	1288
137	490	1286
138	493	1281
139	497	1279
140	501	1277
141	505	1273
142	508	1270
143	512	1267
144	516	1265
145	520	1262
146	523	1258
147	528	1255
148	531	1252
149	535	1250
150	539	1246
151	543	1243
152	547	1240
153	550	1237
154	554	1233
155	557	1230
156	561	1226
157	565	1223
158	568	1219
159	572	1216
160	576	1212
161	580	1210
162	583	1205
163	586	1201
164	589	1197
165	593	1193
166	596	1189
167	600	1186
168	604	1183
169	607	1179
170	611	1175
171	614	1171
172	617	1167
173	620	1162
174	624	1158
175	627	1155
176	630	1151
177	634	1147
178	637	1143
